month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
202301,32.87886944818304,34.14737550471063,32.85531628532974,30.441453566621803,33.21467025572005,30.239569313593535,34.917900403768506,40.62561686855092,35.92664872139973,30.16621803499327,27.74091520861373,28.423956931359356,36.19919246298789,26.041049798115747,27.923956931359356,29.98384925975774
202302,57.31354642313546,57.417808219178085,56.48706240487063,55.59284627092846,55.78234398782344,52.647640791476405,58.88508371385084,63.92884322678843,60.21841704718417,53.61111111111112,52.19228817858955,51.71537290715373,56.1986301369863,49.98249619482496,46.71537290715373,46.385844748858446
202303,64.2798353909465,66.83573388203018,65.75788751714677,61.354252400548695,62.28875171467764,59.619684499314126,63.4420438957476,67.91175125743027,66.77777777777777,61.66598079561042,55.00937357110197,57.13991769547325,60.56138545953361,57.21056241426612,53.00137174211248,48.54458161865569
202304,43.739583333333336,44.152430555555554,46.13333333333333,43.232638888888886,44.02152777777778,44.65625,48.04166666666666,45.70740740740741,47.4375,44.13055555555555,41.36388888888889,43.36736111111111,41.22152777777778,40.15,39.918055555555554,36.017361111111114
202305,33.61021505376344,33.52150537634409,32.314516129032256,29.9119623655914,30.031586021505376,30.434811827956988,29.77822580645161,33.79704301075269,37.057123655913976,31.97782258064516,28.214605734767023,28.116935483870968,32.840053763440864,31.3877688172043,30.070564516129032,28.2614247311828
202306,22.527083333333334,22.97083333333333,21.26875,19.625,20.52777777777778,20.272916666666667,20.20138888888889,22.748148148148147,24.604861111111116,19.74375,17.609490740740743,18.802777777777777,19.913194444444443,19.39097222222222,17.91111111111111,17.759722222222223
202307,21.287298387096776,22.521505376344088,20.028897849462364,18.528897849462364,19.186827956989248,19.64717741935484,17.8622311827957,21.5516353046595,21.466397849462364,19.448252688172044,17.411514336917563,16.86592741935484,18.64516129032258,17.84206989247312,16.97983870967742,17.160618279569892
202308,24.679435483870968,25.177419354838708,22.9744623655914,21.06048387096774,23.254704301075268,24.08333333333333,23.95094086021505,24.37869623655914,25.326612903225808,22.216061827956988,20.428539426523297,21.454301075268816,19.969086021505376,20.563844086021504,19.7372311827957,19.25201612903226
202309,32.68333333333333,34.10625,31.17430555555556,25.699305555555554,28.085416666666667,28.02638888888889,29.92326388888889,33.86377314814815,36.71875,28.485416666666666,24.875694444444445,23.52777777777778,25.84027777777778,25.669444444444444,23.01944444444445,22.95347222222222
202310,41.333333333333336,42.26411290322581,39.836693548387096,30.861559139784948,33.792338709677416,36.26075268817204,35.46236559139785,42.49361559139785,43.94489247311828,35.979838709677416,29.719758064516128,30.52016129032258,36.086693548387096,32.13978494623656,31.29301075268817,26.756720430107528
202311,31.808495821727018,32.58844011142061,30.167130919220057,28.1016713091922,31.17130919220056,30.419220055710305,35.532033426183844,36.59575208913649,32.99373259052925,26.300139275766018,25.0466573816156,29.448467966573816,27.3899721448468,24.25766016713092,23.188022284122564,24.01392757660167
202312,46.78360215053763,47.333333333333336,44.02620967741935,40.91666666666666,43.77889784946237,43.02956989247312,47.108870967741936,54.77464157706093,48.83266129032258,38.285618279569896,34.4119623655914,38.649193548387096,40.019489247311824,30.928091397849464,30.39717741935484,34.71706989247312
